id	BP101	BP155	BP186	BP278	BP315	BP331
TIGR00563	459	391	18	649	2161	757
TIGR03494	483	428	22	550	1965	714
TIGR00368	207	225	13	410	1260	522
TIGR03496	2460	2406	424	2690	7439	3310
TIGR01178	143	115	13	158	528	204
TIGR01179	1190	1112	92	1523	5197	1987
TIGR00362	715	713	39	982	3644	1230
TIGR01175	670	475	15	1032	3370	1170
TIGR01176	1875	1430	98	2011	6520	2358
TIGR00361	303	318	23	464	1747	573
TIGR03499	503	497	21	753	2786	886
TIGR01171	530	464	41	649	1932	753
TIGR00364	251	240	13	481	1474	514
TIGR01173	687	587	30	889	2925	1083
TIGR01379	317	357	13	505	2034	568
TIGR01372	462	452	22	456	1433	506
TIGR01373	84	136	4	62	153	37
TIGR01371	309	248	12	208	1309	321
TIGR01377	16	19	0	14	22	2
TIGR01374	14	39	0	16	30	7
TIGR01375	20	41	1	25	42	2
TIGR02632	7265	6184	320	9051	32454	11628
TIGR02633	2613	2428	161	3161	11405	3950
TIGR03723	583	582	16	596	2067	861
TIGR03722	512	507	17	527	1818	747
TIGR02638	567	505	14	486	1599	453
TIGR02639	2006	1610	146	2259	7661	2950
TIGR03727	37	13	3	45	78	45
TIGR03725	287	240	16	387	1419	514
TIGR03724	12	24	2	19	66	33
TIGR04281	276	270	3	394	1288	424
TIGR04283	288	277	26	367	1364	474
TIGR04282	115	123	16	108	479	160
TIGR04285	159	173	8	232	1041	295
TIGR04284	3132	3036	220	3565	12236	4451
TIGR00778	11	18	1	12	26	6
TIGR00775	647	483	13	883	2695	1063
TIGR00774	77	50	0	24	144	64
TIGR00773	479	339	35	581	2083	758
TIGR02524	1070	880	56	1293	4949	1694
TIGR02525	1227	1043	167	1548	5987	1992
TIGR02523	53	52	0	71	458	93
TIGR02520	70	96	1	302	1256	285
TIGR02521	383	359	13	622	2804	763
TIGR03036	0	6	0	7	39	14
TIGR03033	115	117	0	69	169	117
TIGR02529	250	301	35	362	1112	436
TIGR01958	141	124	2	235	757	277
TIGR01959	35	38	2	160	548	112
TIGR01956	126	93	3	186	490	225
TIGR01957	4	6	2	17	16	14
TIGR01954	69	60	5	144	426	100
TIGR01955	142	142	11	163	706	221
TIGR01952	88	98	6	131	460	127
TIGR01953	266	303	18	449	1581	530
TIGR01950	24	28	0	9	66	31
TIGR01951	178	141	4	284	1016	320
TIGR03150	1280	1042	64	2043	6692	2136
TIGR03151	519	453	21	815	2355	906
TIGR03153	0	0	0	25	86	22
TIGR03156	734	797	57	1136	3333	1188
TIGR00609	523	485	30	656	2051	739
TIGR02453	136	102	10	111	375	153
TIGR02451	22	20	0	58	102	32
TIGR02456	157	123	0	17	58	42
TIGR00858	319	340	14	434	1474	529
TIGR01880	248	300	20	362	1136	393
TIGR01883	48	65	2	54	135	44
TIGR01885	1190	1035	49	1733	6802	2051
TIGR01887	78	109	6	139	419	174
TIGR00915	6328	6094	322	7330	25746	9116
TIGR00914	5750	5590	328	6377	22742	8083
TIGR00916	297	240	18	293	1139	409
TIGR00911	136	130	7	283	835	276
TIGR03937	574	536	42	771	2710	977
TIGR03933	137	110	1	202	913	221
TIGR04352	158	128	7	234	818	251
TIGR03431	1008	863	318	804	2095	454
TIGR03938	203	160	1	266	1631	407
TIGR03939	190	82	3	332	1899	426
TIGR02819	584	433	52	547	1984	659
TIGR02049	0	0	0	9	16	2
TIGR03329	121	136	2	67	157	33
TIGR02044	154	209	2	197	821	222
TIGR02047	93	131	0	131	470	137
TIGR02046	0	2	0	13	113	17
TIGR02041	226	204	22	310	1073	287
TIGR02040	25	33	2	90	405	96
TIGR02043	143	199	2	169	737	200
TIGR02042	297	236	23	410	1432	428
TIGR01776	17	15	0	63	533	49
TIGR01774	2	0	0	211	349	48
TIGR02288	476	463	30	509	1748	603
TIGR01772	140	134	9	195	593	240
TIGR01770	161	265	23	282	550	176
TIGR01771	0	0	0	6	33	6
TIGR02283	110	103	3	195	600	256
TIGR02282	158	126	3	292	1011	382
TIGR02281	74	87	8	113	358	93
TIGR02280	4100	3295	245	5326	17975	6436
